MSISDN1,PIN,MSISDN2,AMOUNT
8801700400000,NzUyMwo=,1700410889,23
8801700400001,OTQ4Mwo=,1700418432,25
8801700400002,MzE2Mgo=,1700426523,26
8801700400003,ODkzNgo=,1700417259,27
8801700400004,MDg4OAo=,1700422706,20
8801700400005,NjU0Nwo=,1700403442,27
8801700400006,NTE2NAo=,1700416401,25
8801700400007,MzQ2OQo=,1700402847,27
8801700400008,Njk3Mgo=,1700420779,25
8801700400009,NTgxNgo=,1700404842,27
8801700400010,NTI5Ngo=,1700410552,26
8801700400011,NjgwOAo=,1700403876,24
8801700400012,NzExOQo=,1700408039,20
8801700400013,NDQ0NQo=,1700411212,25
8801700400014,NDIzOAo=,1700416600,21
8801700400015,MTcwNAo=,1700402323,23
8801700400016,MTM4Mwo=,1700405439,27
8801700400017,MzA1Ngo=,1700412114,24
8801700400018,NjM3OAo=,1700403783,26
8801700400019,Nzg4NAo=,1700413774,23
8801700400020,NjEwMwo=,1700404214,23
8801700400021,ODcyOAo=,1700422913,20
8801700400022,ODAzNgo=,1700403160,26
8801700400023,MzA0OAo=,1700403890,21
8801700400024,NDM5NQo=,1700427618,25
8801700400025,NzAyOAo=,1700402232,24
8801700400026,NDgxNAo=,1700422527,23
8801700400027,OTg4OAo=,1700403976,21
8801700400028,NTE1MAo=,1700425398,27
8801700400030,NzA5OQo=,1700406161,25
8801700400031,ODcwOQo=,1700412172,26
8801700400032,MjI3MQo=,1700406990,22
8801700400033,ODU0Nwo=,1700406626,22
8801700400034,OTc4NQo=,1700412620,21
8801700400035,MDIzMQo=,1700404884,24
8801700400036,NjI0OAo=,1700403896,23
8801700400037,MjE4NAo=,1700408382,27
8801700400038,OTM5Nwo=,1700413413,21
8801700400039,NDMxMQo=,1700424151,26
8801700400040,ODA5NAo=,1700426988,26
8801700400041,MTc1MQo=,1700409874,20
8801700400042,NzQwMwo=,1700406874,21
8801700400043,ODA4OQo=,1700405119,24
8801700400044,MDk5MQo=,1700403880,23
8801700400045,MTU1OAo=,1700422114,23
8801700400046,ODg1OAo=,1700425653,25
8801700400047,Njc3Mgo=,1700418359,20
8801700400048,MTgzMgo=,1700403342,21
8801700400049,NzQ1Mwo=,1700427293,26
8801700400050,NDY2Nwo=,1700417118,23
8801700400051,Nzk3MQo=,1700405678,20
8801700400052,ODgyMAo=,1700417176,24
8801700400053,Njc2Nwo=,1700419165,21
8801700400054,NzM1NQo=,1700425419,24
8801700400055,ODE1MAo=,1700426942,26
8801700400056,MDYzMQo=,1700418636,23
8801700400057,NjM2MAo=,1700422288,20
8801700400058,NTU5Ngo=,1700411667,25
8801700400059,MDk0Mgo=,1700419425,20
8801700400060,NjYxOAo=,1700402415,21
8801700400061,NjMwMgo=,1700402260,26
8801700400062,MDg2OQo=,1700413194,20
8801700400063,NjA0MQo=,1700413561,20
8801700400064,OTg4NAo=,1700422867,20
8801700400065,ODYzNwo=,1700405856,22
8801700400066,ODU2OQo=,1700414923,21
8801700400067,ODczNgo=,1700409927,25
8801700400068,MzgzNQo=,1700425944,23
8801700400069,ODMxMQo=,1700417438,27
